DATAFLOW,TIME_PERIOD,OBS_STATUS,OBS_VALUE,UNIDAD,AREA_REF,FREQ,INDICADOR,DECIMALS,MULT
CL01:DF_ICMO(1.0),2019-M05,,4.9,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2019-M06,,115.25,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2019-M06,,4.7,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2019-M07,,116,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2019-M07,,4.9,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2019-M08,,116.26,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2019-M08,,5.1,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2019-M09,,116.57,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2019-M09,,4.4,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2019-M10,,116.43,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2019-M10,,4.3,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2019-M11,,116.73,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2019-M11,,4,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2019-M12,,118.27,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2019-M12,,4.4,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2020-M01,,118.59,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2020-M01,,4.4,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2020-M02,,118.23,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2020-M02,,4.3,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2020-M03,,119.81,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2020-M03,,4.4,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2020-M04,,118.31,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2020-M04,,2.5,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2020-M05,,118.09,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2020-M05,,2.4,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2020-M06,,118.35,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2020-M06,,2.7,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2020-M07,,119.74,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2020-M07,,3.2,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2020-M08,,119.93,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2020-M08,,3.2,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2020-M09,,121.22,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2020-M09,,4,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2020-M10,,121.27,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2020-M10,,4.2,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2020-M11,,122.4,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2020-M11,,4.9,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2020-M12,,123.48,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2020-M12,,4.4,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2021-M01,,124.31,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2021-M01,,4.8,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2021-M02,,124.06,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2021-M02,,4.9,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2021-M03,,126.06,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2021-M03,,5.2,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2021-M04,,125.75,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2021-M04,,6.3,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2021-M05,,125.28,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2021-M05,,6.1,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2021-M06,,125.89,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2021-M06,,6.4,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2021-M07,,127.74,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2021-M07,,6.7,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2021-M08,,127.93,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2021-M08,,6.7,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2021-M09,,128.74,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2021-M09,,6.2,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2021-M10,,128.69,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2021-M10,,6.1,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2021-M11,,129.82,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2021-M11,,6.1,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2021-M12,,132.09,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2021-M12,,7,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2022-M01,,133.54,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2022-M01,,7.4,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2022-M02,,133.12,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2022-M02,,7.3,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2022-M03,,135.16,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2022-M03,,7.2,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2022-M04,,135.97,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2022-M04,,8.1,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2022-M05,,137.44,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2022-M05,,9.7,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2022-M06,,138.41,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2022-M06,,9.9,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2022-M07,,139.83,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2022-M07,,9.5,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2022-M08,,141.56,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2022-M08,,10.7,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2022-M09,,142.45,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2022-M09,,10.6,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2022-M10,,142.34,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2022-M10,,10.6,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2022-M11,,143.46,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2022-M11,,10.5,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2022-M12,,146.02,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2022-M12,,10.5,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2023-M01,,148.03,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2023-M01,,10.8,VAR12,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2023-M02,p,147.65,IX,_T,M,ICMO,2,0
CL01:DF_ICMO(1.0),2023-M02,p,10.9,VAR12,_T,M,ICMO,2,0
