DATAFLOW,AREA_REF,FREQ,INDICADOR,SEXO,TIME_PERIOD,OBS_VALUE,OBS_STATUS,DECIMALS,CISE,UNIDAD,MULT
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2014,2711.52783203125,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2015,2833.02758789062,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2015,4312.55859375,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2015,3077.14892578125,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2015,2982.58129882812,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2015,5043.51025390625,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2015,3229.98071289062,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2015,2566.63647460938,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2015,3733.22412109375,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2015,2840.3740234375,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2016,3015.83618164062,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2016,4288.244140625,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2016,3219.36376953125,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2016,3162.04248046875,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2016,4879.3642578125,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2016,3356.92260742188,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2016,2744.97509765625,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2016,3830.181640625,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2016,2999.259765625,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2017,3191.5087890625,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2017,4671.7724609375,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2017,3459.1669921875,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2017,3339.94653320312,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2017,5425.55859375,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2017,3610.87060546875,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2017,2930.71459960938,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2017,4100.72119140625,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2017,3231.62622070312,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2018,3393.58520507812,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2018,4822.16357421875,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2018,3657.98754882812,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2018,3579.44653320312,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2018,5312.64404296875,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2018,3812.38647460938,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2018,3075.17456054688,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2018,4449.6201171875,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2018,3431.66650390625,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2010,2145.565,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2010,3088.397,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2010,2288.585,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2010,2220.289,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2010,3482.63,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2010,2360.869,,0,CISE_1,CLPHR,0
