DATAFLOW,AREA_REF,FREQ,INDICADOR,SEXO,TIME_PERIOD,OBS_VALUE,DECIMALS,UNIDAD,MULT
CL01:DF_TLOF_SEXO(1.0),15,A,TLOF,M,2015,23.68573763308424,1,RT,0
CL01:DF_TLOF_SEXO(1.0),15,A,TLOF,F,2015,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),15,A,TLOF,_X,2015,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),15,A,TLOF,_T,2015,13.04313800509553,1,RT,0
CL01:DF_TLOF_SEXO(1.0),16,A,TLOF,M,2015,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),16,A,TLOF,F,2015,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),16,A,TLOF,_X,2015,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),16,A,TLOF,_T,2015,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),_X,A,TLOF,M,2015,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),_X,A,TLOF,F,2015,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),_X,A,TLOF,_X,2015,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),_X,A,TLOF,_T,2015,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),_T,A,TLOF,M,2015,7.339868715099238,1,RT,0
CL01:DF_TLOF_SEXO(1.0),_T,A,TLOF,F,2015,0.26601037965112256,1,RT,0
CL01:DF_TLOF_SEXO(1.0),_T,A,TLOF,_X,2015,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),_T,A,TLOF,_T,2015,4.514886643590188,1,RT,0
CL01:DF_TLOF_SEXO(1.0),01,A,TLOF,M,2016,7.357915584269607,1,RT,0
CL01:DF_TLOF_SEXO(1.0),01,A,TLOF,F,2016,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),01,A,TLOF,_X,2016,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),01,A,TLOF,_T,2016,4.504183260202914,1,RT,0
CL01:DF_TLOF_SEXO(1.0),02,A,TLOF,M,2016,26.744647123882515,1,RT,0
CL01:DF_TLOF_SEXO(1.0),02,A,TLOF,F,2016,2.2173563568835055,1,RT,0
CL01:DF_TLOF_SEXO(1.0),02,A,TLOF,_X,2016,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),02,A,TLOF,_T,2016,18.54099661565013,1,RT,0
