"DTI_CL_UNIDAD_MEDIDA","Unidad de medida","DTI_CL_MES","Mes","Value","Flag Codes","Flags"
"IX","Índice","2020-M02","2020 Febrero",118.23,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M02","2020 Febrero",4.3,,
"IX","Índice","2020-M03","2020 Marzo",119.81,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M03","2020 Marzo",4.4,,
"IX","Índice","2020-M04","2020 Abril",118.31,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M04","2020 Abril",2.5,,
"IX","Índice","2020-M05","2020 Mayo",118.09,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M05","2020 Mayo",2.4,,
"IX","Índice","2020-M06","2020 Junio",118.35,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M06","2020 Junio",2.7,,
"IX","Índice","2020-M07","2020 Julio",119.74,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M07","2020 Julio",3.2,,
"IX","Índice","2020-M08","2020 Agosto",119.93,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M08","2020 Agosto",3.2,,
"IX","Índice","2020-M09","2020 Septiembre",121.22,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M09","2020 Septiembre",4,,
"IX","Índice","2020-M10","2020 Octubre",121.27,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M10","2020 Octubre",4.2,,
"IX","Índice","2020-M11","2020 Noviembre",122.4,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M11","2020 Noviembre",4.9,,
"IX","Índice","2020-M12","2020 Diciembre",123.48,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M12","2020 Diciembre",4.4,,
"IX","Índice","2021-M01","2021 Enero",124.31,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M01","2021 Enero",4.8,,
"IX","Índice","2021-M02","2021 Febrero",124.06,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M02","2021 Febrero",4.9,,
"IX","Índice","2021-M03","2021 Marzo",126.06,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M03","2021 Marzo",5.2,,
"IX","Índice","2021-M04","2021 Abril",125.75,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M04","2021 Abril",6.3,,
"IX","Índice","2021-M05","2021 Mayo",125.28,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M05","2021 Mayo",6.1,,
"IX","Índice","2021-M06","2021 Junio",125.89,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M06","2021 Junio",6.4,,
"IX","Índice","2021-M07","2021 Julio",127.74,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M07","2021 Julio",6.7,,
"IX","Índice","2021-M08","2021 Agosto",127.93,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M08","2021 Agosto",6.7,,
"IX","Índice","2021-M09","2021 Septiembre",128.74,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M09","2021 Septiembre",6.2,,
"IX","Índice","2021-M10","2021 Octubre",128.69,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M10","2021 Octubre",6.1,,
"IX","Índice","2021-M11","2021 Noviembre",129.82,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M11","2021 Noviembre",6.1,,
"IX","Índice","2021-M12","2021 Diciembre",132.09,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M12","2021 Diciembre",7,,
"IX","Índice","2022-M01","2022 Enero",133.54,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M01","2022 Enero",7.4,,
"IX","Índice","2022-M02","2022 Febrero",133.12,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M02","2022 Febrero",7.3,,
"IX","Índice","2022-M03","2022 Marzo",135.16,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M03","2022 Marzo",7.2,,
"IX","Índice","2022-M04","2022 Abril",135.97,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M04","2022 Abril",8.1,,
"IX","Índice","2022-M05","2022 Mayo",137.44,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M05","2022 Mayo",9.7,,
"IX","Índice","2022-M06","2022 Junio",138.41,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M06","2022 Junio",9.9,,
"IX","Índice","2022-M07","2022 Julio",139.83,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M07","2022 Julio",9.5,,
"IX","Índice","2022-M08","2022 Agosto",141.56,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M08","2022 Agosto",10.7,,
"IX","Índice","2022-M09","2022 Septiembre",142.45,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M09","2022 Septiembre",10.6,,
"IX","Índice","2022-M10","2022 Octubre",142.34,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M10","2022 Octubre",10.6,,
"IX","Índice","2022-M11","2022 Noviembre",143.46,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M11","2022 Noviembre",10.5,,
"IX","Índice","2022-M12","2022 Diciembre",146.02,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M12","2022 Diciembre",10.5,,
"IX","Índice","2023-M01","2023 Enero",148.03,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2023-M01","2023 Enero",10.8,,
"IX","Índice","2023-M02","2023 Febrero",147.65,"p","Provisional"
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2023-M02","2023 Febrero",10.9,"p","Provisional"
